date,model,host,headline,output,messages,estimated
2026-07-13,Fable 5,mac-1,749965,89253,151,0
2026-07-13,Haiku 4.5,mac-1,126480,21636,101,0
2026-07-13,Opus 4.8,mac-1,4424418,782356,1087,0
2026-07-13,Other,mac-1,0,0,2,0
2026-07-14,Fable 5,mac-1,1258253,121870,165,0
2026-07-14,Opus 4.8,mac-1,5419178,960765,1273,0
2026-07-14,Other,mac-1,0,0,1,0
2026-07-15,Fable 5,mac-1,3153290,373983,666,0
2026-07-16,Opus 4.8,mac-1,2872330,455703,755,0
2026-07-17,Fable 5,mac-1,1373585,243123,295,0
2026-07-17,Opus 4.8,mac-1,4314658,704890,1174,0
2026-07-17,Other,mac-1,0,0,2,0
2026-07-18,Fable 5,mac-1,532203,103286,113,0
2026-07-18,Opus 4.8,mac-1,3670698,651661,779,0
2026-07-18,Other,mac-1,0,0,15,0
2026-07-19,Fable 5,mac-1,1323192,171197,238,0
2026-07-19,Opus 4.8,mac-1,2261672,440901,571,0
2026-07-20,Fable 5,mac-1,3973792,498132,793,0
2026-07-20,Opus 4.8,mac-1,3384451,430969,693,0
2026-07-20,Other,mac-1,0,0,2,0
2026-07-21,Fable 5,mac-1,1482012,154811,149,0
2026-07-21,Opus 4.8,mac-1,2391875,229580,418,0
2026-07-22,Fable 5,mac-1,1714879,102839,124,0
2026-07-22,Opus 4.8,mac-1,1596988,211273,381,0
2026-07-23,Fable 5,mac-1,253417,52331,90,0
2026-07-23,Opus 4.8,mac-1,3394462,519247,804,0
2026-07-24,Fable 5,mac-1,408007,52773,65,0
2026-07-24,Opus 4.8,mac-1,4235737,865669,856,0
2026-07-24,Other,mac-1,0,0,2,0
2026-07-25,Fable 5,mac-1,576937,98027,146,0
2026-07-25,Opus 4.8,mac-1,1143401,104518,123,0
2026-07-25,Opus 5,mac-1,7039026,1428624,2205,0
2026-07-25,Other,mac-1,0,0,1,0
2026-07-26,Opus 5,mac-1,7723115,1130573,2207,0
2026-07-26,Opus 5,mac-2,6535505,1051912,1987,0
2026-07-26,Other,mac-1,0,0,5,0
2026-07-27,Opus 5,mac-2,15420548,2294866,3888,0
2026-07-27,Other,mac-2,0,0,3,0
2026-07-28,Opus 5,mac-2,14629087,2557439,4294,0
2026-07-28,Other,mac-2,0,0,4,0
2026-07-29,Opus 5,mac-2,13628710,1480111,2745,0
2026-07-29,Other,mac-2,0,0,2,0
2026-07-30,Opus 5,mac-2,6738847,444741,713,0
2026-07-30,Other,mac-2,0,0,2,0
2026-07-31,Fable 5,mac-2,10495374,1869159,2517,0
2026-07-31,Opus 5,mac-2,6072776,1161964,2320,0
2026-07-31,Other,mac-2,0,0,6,0
2026-08-01,Fable 5,mac-2,978241,110069,147,0
2026-08-01,Opus 5,mac-2,21253195,3379590,5629,0
2026-08-02,Opus 5,mac-2,9428455,1657949,2475,0
2026-08-02,Other,mac-2,0,0,3,0
2026-08-03,Opus 5,mac-2,17940311,2647385,4178,0
2026-08-03,Other,mac-2,0,0,2,0
2026-08-04,Fable 5,mac-2,2834465,432958,548,0
2026-08-04,Opus 5,mac-2,17961250,3180079,5395,0
2026-08-04,Other,mac-2,0,0,1,0
2026-08-05,Fable 5,mac-2,1207924,181512,177,0
2026-08-05,Opus 5,mac-2,3800912,444848,755,0
2026-08-05,Other,mac-2,0,0,9,0
2026-08-06,Fable 5,mac-2,2086176,197728,310,0
2026-08-06,Opus 5,mac-2,15025309,2095215,3115,0
2026-08-06,Other,mac-2,0,0,1,0
2026-08-07,Opus 5,mac-2,2757539,199353,315,0
2026-08-08,Opus 5,mac-2,16852595,2246930,3706,0
2026-08-08,Other,mac-2,0,0,6,0
2026-08-09,Opus 5,mac-2,15916749,1648435,2556,0
2026-08-09,Other,mac-2,0,0,5,0
2026-08-10,Opus 5,mac-2,6283596,605480,1009,0
2026-08-10,Other,mac-2,0,0,1,0
2026-08-11,Opus 5,mac-2,13341424,1121856,2212,0
2026-08-11,Other,mac-2,0,0,3,0
2026-08-12,Opus 5,mac-2,34237074,4231835,7275,0
2026-08-13,Opus 5,mac-2,14885033,1015382,1411,0
2026-08-14,Opus 5,mac-2,16226663,2276730,4074,0
2026-08-15,Opus 5,mac-2,11756945,2058555,3102,0
2026-08-15,Other,mac-2,0,0,2,0
2026-08-16,Opus 5,mac-2,602878,93537,169,0
