week_start,added,survived,horizon_days,rate
2026-05-16,7933,6482,14,0.8171
2026-05-23,2542,2148,14,0.8450
2026-05-30,1426,1330,14,0.9327
2026-06-06,2276,2033,14,0.8932
2026-06-13,3702,3333,14,0.9003
2026-06-20,13943,12392,14,0.8888
2026-06-27,3270,3198,14,0.9780
2026-07-04,9737,8319,14,0.8544
2026-07-11,3611,2631,14,0.7286
2026-07-18,9772,8190,14,0.8381
2026-07-25,13951,12659,14,0.9074
2026-08-01,11820,10048,14,0.8501
